Order Number,Order Date,Year,Month,Month Number,Day of Week,Day Type,Season,Customer ID,Customer Name,Age Group,Gender,City,State,Membership Tier,Mall Name,Store Name,Product Category,Floor Level,Items Purchased,Unit Price ($),Subtotal ($),Discount (%),Discount Amount ($),Tax Rate (%),Tax Amount ($),Total Amount ($),Payment Method,Promo Used,Promo Code,Visit Purpose,Visit Duration (mins),Parking Type,Satisfaction Score,Returned Item,Return Reason,Online Review Posted,Loyalty Points Earned
ORD-2022-00682,12/8/2024,2024,December,12,Sunday,Weekend,Winter,CUST75188,Steven Green,18-24,Male,Philadelphia,PA,Bronze,Eastgate Mall,Gap,Fashion,Ground,5,412.41,2062.05,10,206.21,11.72,217.5,2073.34,Mobile Pay,No,,Shopping,240,Free,4,No,,No,4654
ORD-2023-00683,12/13/2024,2024,December,12,Friday,Weekday,Winter,CUST40323,Charles Anderson,25-34,Male,Dallas,TX,Silver,Sunrise Mall,Things Remembered,Books & Gifts,1st,8,174.76,1398.08,0,0,5.98,83.61,1481.69,Mobile Pay,Yes,PROMO716,Dining,58,Free,5,No,,No,3468
ORD-2024-00684,3/16/2022,2022,March,3,Wednesday,Weekday,Spring,CUST15616,Mark Mitchell,55-64,Non-binary,Dallas,TX,Platinum,Northpark Mall,MAC Cosmetics,Beauty,1st,11,15.52,170.72,20,34.14,6.66,9.1,145.68,Mobile Pay,No,,Window Shopping,126,Paid,5,No,,Yes,638
ORD-2022-00685,4/24/2022,2022,April,4,Sunday,Weekend,Spring,CUST21584,Betty Hill,35-44,Female,San Antonio,TX,Platinum,Summit Crossing,Build-A-Bear,Kids,1st,1,196.21,196.21,15,29.43,5.51,9.19,175.97,Buy Now Pay Later,Yes,PROMO448,Dining,40,Paid,5,No,,No,305
ORD-2023-00686,9/20/2024,2024,September,9,Friday,Weekday,Fall,CUST44574,Susan King,18-24,Male,San Jose,CA,Bronze,Blue Harbor Center,Zales,Jewelry,3rd,1,62.34,62.34,5,3.12,8.88,5.26,64.48,Gift Card,No,,Window Shopping,214,Paid,3,No,,No,99
ORD-2024-00687,2/6/2024,2024,February,2,Tuesday,Weekday,Winter,CUST69183,Brian White,45-54,Male,Los Angeles,CA,Gold,Westfield Grand,Barnes & Noble,Books & Gifts,1st,1,304.81,304.81,0,0,7.58,23.1,327.91,Gift Card,No,,Gift Buying,196,Paid,2,No,,No,662
ORD-2022-00688,5/11/2024,2024,May,5,Saturday,Weekend,Spring,CUST89254,Donna Adams,18-24,Male,Columbus,OH,Platinum,The Royal Galleria,Spencer's,Books & Gifts,Ground,12,366.23,4394.76,15,659.21,11.87,443.41,4178.96,Mobile Pay,No,,Shopping,148,Valet,4,No,,No,9701
ORD-2023-00689,10/21/2024,2024,October,10,Monday,Weekday,Fall,CUST34952,Richard Lopez,45-54,Prefer not to say,Fort Worth,TX,Bronze,Southshore Pavilion,L'Occitane,Beauty,1st,4,150.74,602.96,0,0,11.78,71.03,673.99,Mobile Pay,No,,Gift Buying,158,Free,5,Yes,,No,991
ORD-2024-00690,3/4/2022,2022,March,3,Friday,Weekday,Spring,CUST39898,Donna Campbell,65+,Female,Phoenix,AZ,Silver,Pinnacle Plaza,Dave & Busters,Entertainment,3rd,4,166.26,665.04,15,99.76,11.36,64.22,629.5,Buy Now Pay Later,No,,Dining,148,Valet,3,No,,No,2888
ORD-2022-00691,8/30/2022,2022,August,8,Tuesday,Weekday,Summer,CUST63245,Donna Martinez,18-24,Female,New York,NY,Gold,Summit Crossing,Cheesecake Factory,Food & Beverage,2nd,6,274.53,1647.18,0,0,9.63,158.62,1805.8,Credit Card,No,,Gift Buying,112,Free,4,No,,No,7647
ORD-2023-00692,10/26/2022,2022,October,10,Wednesday,Weekday,Fall,CUST25753,Kenneth Perez,45-54,Female,Philadelphia,PA,Bronze,Northpark Mall,Skechers,Sports,3rd,4,389.72,1558.88,5,77.94,6.04,89.45,1570.39,Gift Card,Yes,PROMO130,Entertainment,232,Free,4,No,,No,1576
ORD-2024-00693,3/11/2024,2024,March,3,Monday,Weekday,Spring,CUST76047,Ronald Harris,45-54,Female,Los Angeles,CA,Bronze,Westfield Grand,Pandora,Jewelry,1st,2,335.82,671.64,20,134.33,7.34,39.44,576.75,Credit Card,Yes,PROMO744,Shopping,31,Paid,4,Yes,Changed mind,No,1622
ORD-2022-00694,12/4/2024,2024,December,12,Wednesday,Weekday,Winter,CUST92179,Carol Clark,18-24,Male,San Diego,CA,Bronze,Southshore Pavilion,Skechers,Sports,3rd,12,187.34,2248.08,15,337.21,6.89,131.66,2042.53,Mobile Pay,Yes,PROMO559,Window Shopping,128,Paid,4,No,,No,5405
ORD-2023-00695,2/9/2022,2022,February,2,Wednesday,Weekday,Winter,CUST60393,Kevin Walker,55-64,Male,Jacksonville,FL,Diamond,Lakewood Center,Disney Store,Kids,Ground,3,284.88,854.64,25,213.66,5.47,35.06,676.04,Cash,Yes,PROMO299,Shopping,116,Free,5,No,,Yes,1034
ORD-2024-00696,12/17/2022,2022,December,12,Saturday,Weekend,Winter,CUST20374,Sandra Wright,35-44,Female,Los Angeles,CA,Silver,Eastgate Mall,Puma,Sports,2nd,4,425.53,1702.12,25,425.53,6.15,78.51,1355.1,Credit Card,Yes,PROMO532,Shopping,169,Paid,3,No,,No,2072
ORD-2022-00697,12/8/2023,2023,December,12,Friday,Weekday,Winter,CUST97539,Donald Jones,25-34,Male,Houston,TX,Silver,Pinnacle Plaza,Pandora,Jewelry,Ground,5,135.98,679.9,0,0,11.73,79.75,759.65,Gift Card,No,,Entertainment,27,Free,3,No,,No,3782
ORD-2023-00698,5/28/2023,2023,May,5,Sunday,Weekend,Spring,CUST70713,Michael Martinez,55-64,Male,Dallas,TX,Gold,Lakewood Center,Bose,Electronics,2nd,8,335.3,2682.4,0,0,6.31,169.26,2851.66,Credit Card,No,,Dining,178,Free,2,No,,No,5829
ORD-2024-00699,11/28/2023,2023,November,11,Tuesday,Weekday,Fall,CUST40360,Ronald Ramirez,35-44,Female,Houston,TX,Platinum,Lakewood Center,Virtual Reality Zone,Entertainment,1st,9,125.3,1127.7,0,0,8.61,97.09,1224.79,Gift Card,No,,Leisure,96,Paid,4,No,,No,4668
ORD-2022-00700,4/4/2024,2024,April,4,Thursday,Weekday,Spring,CUST75072,Patricia Sanchez,18-24,Male,Jacksonville,FL,Bronze,Lakewood Center,LG Studio,Electronics,1st,7,261.55,1830.85,20,366.17,11.02,161.41,1626.09,Credit Card,Yes,PROMO960,Entertainment,210,Free,1,No,,Yes,6009
ORD-2023-00701,1/20/2024,2024,January,1,Saturday,Weekend,Winter,CUST44722,Michael Baker,45-54,Male,San Diego,CA,Silver,Northpark Mall,Uniqlo,Fashion,2nd,3,367.58,1102.74,10,110.27,10.39,103.12,1095.59,Debit Card,No,,Shopping,161,Valet,3,No,,No,3436
ORD-2024-00702,8/15/2023,2023,August,8,Tuesday,Weekday,Summer,CUST14444,Robert Perez,35-44,Male,Chicago,IL,Diamond,Blue Harbor Center,Disney Store,Kids,3rd,12,366.17,4394.04,15,659.11,8.8,328.67,4063.6,Buy Now Pay Later,Yes,PROMO233,Gift Buying,198,Paid,5,No,,No,13974
ORD-2022-00703,6/22/2022,2022,June,6,Wednesday,Weekday,Summer,CUST70015,Andrew Allen,25-34,Male,Austin,TX,Diamond,Lakewood Center,Bath & Body Works,Beauty,Food Court,1,349.16,349.16,5,17.46,7.5,24.88,356.58,Debit Card,Yes,PROMO887,Dining,154,Free,4,No,,No,1001
ORD-2023-00704,5/11/2022,2022,May,5,Wednesday,Weekday,Spring,CUST81037,Ashley Harris,25-34,Male,Dallas,TX,Bronze,Southshore Pavilion,Timezone,Entertainment,1st,10,289.42,2894.2,5,144.71,8.48,233.16,2982.65,Debit Card,No,,Dining,96,Paid,4,No,,Yes,9238
ORD-2024-00705,5/2/2023,2023,May,5,Tuesday,Weekday,Spring,CUST57232,Mary Nelson,25-34,Female,Charlotte,NC,Platinum,The Royal Galleria,IKEA,Home & Living,3rd,7,193.56,1354.92,15,203.24,9.8,112.86,1264.54,Gift Card,No,,Shopping,22,Paid,5,No,,Yes,2621
ORD-2022-00706,8/1/2024,2024,August,8,Thursday,Weekday,Summer,CUST48556,Matthew Flores,25-34,Male,Chicago,IL,Bronze,Pinnacle Plaza,Spencer's,Books & Gifts,Food Court,4,318.8,1275.2,0,0,8.73,111.32,1386.52,Gift Card,No,,Entertainment,217,Valet,4,No,,Yes,6569
ORD-2023-00707,6/13/2022,2022,June,6,Monday,Weekday,Summer,CUST73347,Lisa Campbell,18-24,Female,Fort Worth,TX,Bronze,Northpark Mall,Pottery Barn,Home & Living,3rd,6,197.59,1185.54,30,355.66,6.2,51.45,881.33,Gift Card,No,,Dining,237,Free,5,No,,No,4193
ORD-2024-00708,1/27/2024,2024,January,1,Saturday,Weekend,Winter,CUST83227,Thomas Harris,55-64,Female,Dallas,TX,Silver,Lakewood Center,IKEA,Home & Living,Ground,10,163.62,1636.2,10,163.62,9.76,143.72,1616.3,Cash,Yes,PROMO791,Dining,16,Paid,3,No,,No,6997
ORD-2022-00709,12/4/2022,2022,December,12,Sunday,Weekend,Winter,CUST86280,Melissa Perez,45-54,Female,Columbus,OH,Bronze,Northpark Mall,Gap,Fashion,1st,1,47.58,47.58,5,2.38,7.76,3.51,48.71,Credit Card,No,,Entertainment,90,Paid,4,No,,Yes,221
ORD-2023-00710,12/10/2024,2024,December,12,Tuesday,Weekday,Winter,CUST12104,Daniel Williams,35-44,Male,San Diego,CA,Diamond,Eastgate Mall,Sony Center,Electronics,Ground,5,476.6,2383,0,0,11.05,263.32,2646.32,Credit Card,Yes,PROMO492,Entertainment,212,Valet,5,Yes,Changed mind,No,8909
ORD-2024-00711,9/27/2022,2022,September,9,Tuesday,Weekday,Fall,CUST77404,David Thomas,25-34,Male,Philadelphia,PA,Silver,The Royal Galleria,AMC Theaters,Entertainment,1st,6,204.09,1224.54,25,306.13,11.55,106.08,1024.49,Gift Card,No,,Window Shopping,121,Paid,2,No,,No,2836
ORD-2022-00712,10/6/2024,2024,October,10,Sunday,Weekend,Fall,CUST80955,Brian Moore,25-34,Male,Jacksonville,FL,Gold,Summit Crossing,Bed Bath & Beyond,Home & Living,3rd,12,296.22,3554.64,30,1066.39,10.58,263.26,2751.51,Cash,Yes,PROMO729,Leisure,230,Valet,4,No,,No,7463
ORD-2023-00713,1/13/2022,2022,January,1,Thursday,Weekday,Winter,CUST93776,Karen White,35-44,Male,Fort Worth,TX,Bronze,Blue Harbor Center,Zara,Fashion,Ground,11,439.81,4837.91,0,0,6.65,321.72,5159.63,Buy Now Pay Later,Yes,PROMO431,Shopping,219,Free,4,No,,No,18223
ORD-2024-00714,7/25/2022,2022,July,7,Monday,Weekday,Summer,CUST90859,Kimberly King,25-34,Female,Columbus,OH,Silver,The Royal Galleria,Bath & Body Works,Beauty,Ground,10,311.88,3118.8,15,467.82,6.01,159.32,2810.3,Buy Now Pay Later,No,,Dining,123,Paid,4,No,,No,2881
ORD-2022-00715,12/10/2022,2022,December,12,Saturday,Weekend,Winter,CUST32658,Kimberly Wilson,35-44,Male,Los Angeles,CA,Gold,Pinnacle Plaza,Crate & Barrel,Home & Living,2nd,2,369.84,739.68,0,0,5.44,40.24,779.92,Debit Card,No,,Gift Buying,51,Free,5,No,,No,3542
ORD-2023-00716,9/29/2024,2024,September,9,Sunday,Weekend,Fall,CUST79797,Matthew Johnson,55-64,Non-binary,San Diego,CA,Bronze,Northpark Mall,KFC,Food & Beverage,1st,8,204.99,1639.92,15,245.99,9.66,134.65,1528.58,Debit Card,No,,Dining,104,Paid,4,No,,No,3845
ORD-2024-00717,10/29/2023,2023,October,10,Sunday,Weekend,Fall,CUST69450,Stephanie Nelson,45-54,Female,Columbus,OH,Silver,Northpark Mall,McDonald's,Food & Beverage,Ground,11,279.13,3070.43,15,460.56,7.75,202.26,2812.13,Gift Card,No,,Dining,198,Paid,4,No,,Yes,11667
ORD-2022-00718,1/17/2023,2023,January,1,Tuesday,Weekday,Winter,CUST84301,Barbara Torres,45-54,Female,Chicago,IL,Diamond,Blue Harbor Center,Uniqlo,Fashion,Ground,4,371.79,1487.16,25,371.79,11.69,130.39,1245.76,Buy Now Pay Later,Yes,PROMO410,Window Shopping,219,Paid,4,No,,No,2075
ORD-2023-00719,5/16/2023,2023,May,5,Tuesday,Weekday,Spring,CUST64771,Karen Moore,35-44,Female,Dallas,TX,Bronze,Summit Crossing,Hallmark,Books & Gifts,3rd,12,324.08,3888.96,15,583.34,11.18,369.57,3675.19,Debit Card,Yes,PROMO440,Dining,221,Free,4,No,,No,15067
ORD-2024-00720,1/5/2023,2023,January,1,Thursday,Weekday,Winter,CUST84847,James Lopez,65+,Female,San Diego,CA,Bronze,Southshore Pavilion,Virtual Reality Zone,Entertainment,Ground,2,85.23,170.46,5,8.52,9.67,15.66,177.6,Gift Card,Yes,PROMO602,Window Shopping,209,Paid,4,No,,No,853
ORD-2022-00721,9/25/2022,2022,September,9,Sunday,Weekend,Fall,CUST17115,Nancy Sanchez,45-54,Female,Chicago,IL,Silver,Sunrise Mall,Starbucks,Food & Beverage,1st,3,23.64,70.92,0,0,10.33,7.33,78.25,Mobile Pay,No,,Gift Buying,222,Paid,5,No,,No,144
ORD-2023-00722,2/2/2024,2024,February,2,Friday,Weekday,Winter,CUST61687,Kevin Wright,25-34,Female,Houston,TX,Diamond,Blue Harbor Center,Gymboree,Kids,3rd,1,104.99,104.99,0,0,7.11,7.46,112.45,Mobile Pay,No,,Leisure,35,Free,5,No,,Yes,185
ORD-2024-00723,7/11/2022,2022,July,7,Monday,Weekday,Summer,CUST86923,Stephanie Campbell,35-44,Female,Chicago,IL,Gold,Southshore Pavilion,Forever 21,Fashion,Ground,11,16.89,185.79,5,9.29,8.35,14.74,191.24,Buy Now Pay Later,Yes,PROMO105,Leisure,145,Valet,3,No,,No,716
ORD-2022-00724,8/24/2022,2022,August,8,Wednesday,Weekday,Summer,CUST29895,Barbara Campbell,18-24,Male,Austin,TX,Bronze,Westfield Grand,Cheesecake Factory,Food & Beverage,Ground,3,63.45,190.35,15,28.55,9.9,16.02,177.82,Mobile Pay,Yes,PROMO889,Window Shopping,134,Free,5,No,,No,464
ORD-2023-00725,9/5/2022,2022,September,9,Monday,Weekday,Fall,CUST96732,Edward Perez,55-64,Female,Chicago,IL,Gold,Lakewood Center,Barnes & Noble,Books & Gifts,2nd,9,381.18,3430.62,25,857.65,6.39,164.41,2737.38,Gift Card,Yes,PROMO489,Leisure,201,Paid,3,No,,No,7723
ORD-2024-00726,12/2/2024,2024,December,12,Monday,Weekday,Winter,CUST47283,Michael Garcia,55-64,Prefer not to say,Chicago,IL,Bronze,The Royal Galleria,Best Buy,Electronics,3rd,9,343.11,3087.99,15,463.2,5.98,156.96,2781.75,Cash,Yes,PROMO393,Shopping,162,Free,5,No,,No,4936
ORD-2022-00727,12/18/2023,2023,December,12,Monday,Weekday,Winter,CUST97418,Susan Rivera,45-54,Male,Fort Worth,TX,Gold,Westfield Grand,Pandora,Jewelry,1st,6,68.46,410.76,15,61.61,8.48,29.61,378.76,Credit Card,Yes,PROMO534,Shopping,73,Paid,5,No,,No,965
ORD-2023-00728,2/25/2022,2022,February,2,Friday,Weekday,Winter,CUST17053,Barbara Walker,25-34,Female,New York,NY,Silver,Blue Harbor Center,Sephora,Beauty,Ground,6,309.05,1854.3,10,185.43,8.9,148.53,1817.4,Cash,No,,Shopping,57,Free,4,Yes,Wrong size,No,2736
ORD-2024-00729,8/8/2022,2022,August,8,Monday,Weekday,Summer,CUST92802,William Baker,55-64,Male,Columbus,OH,Gold,The Royal Galleria,Crate & Barrel,Home & Living,2nd,4,352.09,1408.36,25,352.09,5.23,55.24,1111.51,Credit Card,No,,Shopping,19,Valet,4,No,,No,2750
ORD-2022-00730,5/13/2022,2022,May,5,Friday,Weekday,Spring,CUST58754,Stephanie Thompson,18-24,Female,Austin,TX,Bronze,Southshore Pavilion,Williams-Sonoma,Home & Living,1st,3,473.16,1419.48,0,0,10.89,154.58,1574.06,Debit Card,No,,Entertainment,133,Paid,4,No,,No,1817
ORD-2023-00731,4/24/2024,2024,April,4,Wednesday,Weekday,Spring,CUST21793,Betty Moore,35-44,Male,San Diego,CA,Silver,Sunrise Mall,Build-A-Bear,Kids,Ground,7,260.56,1823.92,10,182.39,8.62,141.5,1783.03,Buy Now Pay Later,Yes,PROMO837,Leisure,108,Free,4,No,,Yes,2385
ORD-2024-00732,7/28/2022,2022,July,7,Thursday,Weekday,Summer,CUST20447,Joseph Perez,25-34,Male,Jacksonville,FL,Diamond,Lakewood Center,Nike,Sports,1st,5,183.75,918.75,10,91.88,6.93,57.3,884.17,Cash,Yes,PROMO117,Dining,220,Free,4,No,,No,2751
ORD-2022-00733,5/29/2024,2024,May,5,Wednesday,Weekday,Spring,CUST83565,Susan Davis,18-24,Female,New York,NY,Bronze,Lakewood Center,Things Remembered,Books & Gifts,1st,4,499.88,1999.52,20,399.9,10.44,167,1766.62,Gift Card,No,,Window Shopping,55,Free,5,No,,No,7583
ORD-2023-00734,12/10/2024,2024,December,12,Tuesday,Weekday,Winter,CUST14205,Steven Johnson,45-54,Male,Jacksonville,FL,Bronze,Blue Harbor Center,Skechers,Sports,Food Court,5,204.48,1022.4,5,51.12,7.17,69.64,1040.92,Cash,Yes,PROMO702,Leisure,165,Free,1,Yes,Wrong size,No,1196
ORD-2024-00735,4/29/2023,2023,April,4,Saturday,Weekend,Spring,CUST92716,Melissa Torres,35-44,Female,Columbus,OH,Gold,Sunrise Mall,Justice,Kids,2nd,10,6.5,65,0,0,11.98,7.79,72.79,Credit Card,No,,Entertainment,215,Paid,3,No,,Yes,246
ORD-2022-00736,12/19/2024,2024,December,12,Thursday,Weekday,Winter,CUST67542,Sandra Nguyen,45-54,Male,Houston,TX,Gold,Sunrise Mall,Dave & Busters,Entertainment,Ground,7,194.2,1359.4,10,135.94,7.05,86.25,1309.71,Mobile Pay,No,,Window Shopping,40,Paid,3,No,,No,5662
ORD-2023-00737,3/8/2023,2023,March,3,Wednesday,Weekday,Spring,CUST24934,Emily Torres,25-34,Male,Phoenix,AZ,Diamond,Southshore Pavilion,Justice,Kids,3rd,8,404.47,3235.76,0,0,10.76,348.17,3583.93,Cash,Yes,PROMO319,Dining,125,Paid,5,No,,No,11333
ORD-2024-00738,4/23/2022,2022,April,4,Saturday,Weekend,Spring,CUST40829,Andrew Garcia,55-64,Female,Los Angeles,CA,Silver,The Royal Galleria,Starbucks,Food & Beverage,2nd,12,376.71,4520.52,10,452.05,9.17,373.08,4441.55,Gift Card,No,,Window Shopping,52,Paid,5,Yes,Wrong item,No,21578
ORD-2022-00739,5/25/2022,2022,May,5,Wednesday,Weekday,Spring,CUST31065,Andrew Rodriguez,35-44,Male,Phoenix,AZ,Platinum,The Royal Galleria,The Children's Place,Kids,Ground,8,473.67,3789.36,25,947.34,8.65,245.83,3087.85,Buy Now Pay Later,No,,Dining,161,Paid,5,No,,No,3405
ORD-2023-00740,10/18/2023,2023,October,10,Wednesday,Weekday,Fall,CUST83849,Richard Harris,45-54,Male,Columbus,OH,Bronze,Blue Harbor Center,AMC Theaters,Entertainment,Food Court,10,204.6,2046,20,409.2,9.68,158.44,1795.24,Debit Card,No,,Gift Buying,142,Free,5,No,,No,2875
ORD-2024-00741,9/4/2024,2024,September,9,Wednesday,Weekday,Fall,CUST25455,Matthew Anderson,18-24,Non-binary,San Jose,CA,Bronze,Westfield Grand,Mango,Fashion,1st,2,396.11,792.22,5,39.61,7.48,56.3,808.91,Credit Card,Yes,PROMO927,Window Shopping,156,Paid,4,No,,No,2029
ORD-2022-00742,3/26/2024,2024,March,3,Tuesday,Weekday,Spring,CUST93840,Joshua Clark,65+,Male,Charlotte,NC,Bronze,Westfield Grand,Pizza Hut,Food & Beverage,Ground,10,191.28,1912.8,10,191.28,10.04,172.84,1894.36,Gift Card,Yes,PROMO554,Window Shopping,21,Paid,4,No,,Yes,2972
ORD-2023-00743,5/13/2023,2023,May,5,Saturday,Weekend,Spring,CUST75867,David Smith,18-24,Male,Dallas,TX,Diamond,Northpark Mall,Kay Jewelers,Jewelry,1st,4,136.63,546.52,5,27.33,9.88,51.3,570.49,Debit Card,Yes,PROMO591,Gift Buying,25,Valet,5,No,,Yes,1944
ORD-2024-00744,5/10/2022,2022,May,5,Tuesday,Weekday,Spring,CUST42543,Linda Nguyen,25-34,Female,Houston,TX,Silver,Sunrise Mall,Microsoft Store,Electronics,Food Court,10,321.85,3218.5,0,0,10.75,345.99,3564.49,Debit Card,No,,Leisure,119,Free,3,No,,No,4188
ORD-2022-00745,7/13/2022,2022,July,7,Wednesday,Weekday,Summer,CUST46492,William White,35-44,Female,Charlotte,NC,Platinum,Westfield Grand,Kay Jewelers,Jewelry,Ground,8,76.6,612.8,0,0,5.68,34.81,647.61,Cash,Yes,PROMO906,Leisure,23,Free,5,No,,No,2604
ORD-2023-00746,5/14/2022,2022,May,5,Saturday,Weekend,Spring,CUST81646,Andrew Torres,25-34,Male,San Jose,CA,Gold,The Royal Galleria,Build-A-Bear,Kids,Ground,9,272.82,2455.38,25,613.85,5.02,92.44,1933.97,Mobile Pay,No,,Window Shopping,228,Paid,4,Yes,Wrong size,No,3685
ORD-2024-00747,3/18/2024,2024,March,3,Monday,Weekday,Spring,CUST80569,Michelle Nelson,25-34,Female,San Antonio,TX,Gold,Northpark Mall,Kay Jewelers,Jewelry,1st,4,350.95,1403.8,10,140.38,9.88,124.83,1388.25,Gift Card,No,,Window Shopping,94,Free,5,No,,No,2838
ORD-2022-00748,8/15/2022,2022,August,8,Monday,Weekday,Summer,CUST72620,Elizabeth Brown,25-34,Male,Austin,TX,Diamond,Southshore Pavilion,Best Buy,Electronics,3rd,4,350.01,1400.04,5,70,9.86,131.14,1461.18,Cash,No,,Shopping,33,Paid,4,No,,No,4706
ORD-2023-00749,5/25/2023,2023,May,5,Thursday,Weekday,Spring,CUST52946,Emily Taylor,25-34,Female,Dallas,TX,Silver,Sunrise Mall,Swarovski,Jewelry,Ground,1,192.6,192.6,0,0,5.17,9.96,202.56,Buy Now Pay Later,No,,Leisure,161,Free,4,No,,No,507
ORD-2024-00750,6/9/2024,2024,June,6,Sunday,Weekend,Summer,CUST44358,Daniel Ramirez,45-54,Male,New York,NY,Bronze,Eastgate Mall,Tiffany & Co.,Jewelry,Ground,5,160.8,804,25,201,8.43,50.83,653.83,Mobile Pay,No,,Entertainment,152,Free,5,No,,No,2697
ORD-2022-00751,9/25/2022,2022,September,9,Sunday,Weekend,Fall,CUST27145,Betty Harris,18-24,Male,Phoenix,AZ,Platinum,Summit Crossing,Skechers,Sports,1st,3,386.36,1159.08,5,57.95,7.02,77.3,1178.43,Credit Card,Yes,PROMO154,Window Shopping,176,Valet,4,No,,Yes,5211
ORD-2023-00752,1/6/2023,2023,January,1,Friday,Weekday,Winter,CUST50713,Brian Walker,18-24,Female,Jacksonville,FL,Silver,Lakewood Center,Timezone,Entertainment,2nd,6,308.57,1851.42,5,92.57,5.73,100.78,1859.63,Debit Card,No,,Entertainment,196,Paid,5,Yes,,No,9248
ORD-2024-00753,1/31/2022,2022,January,1,Monday,Weekday,Winter,CUST74819,Betty Walker,45-54,Male,Dallas,TX,Diamond,Southshore Pavilion,LG Studio,Electronics,Ground,3,101.96,305.88,0,0,9.04,27.65,333.53,Cash,Yes,PROMO238,Window Shopping,216,Free,5,No,,No,552
ORD-2022-00754,8/16/2022,2022,August,8,Tuesday,Weekday,Summer,CUST72747,Thomas Anderson,18-24,Female,Dallas,TX,Silver,Pinnacle Plaza,Starbucks,Food & Beverage,1st,7,176.13,1232.91,10,123.29,7.7,85.44,1195.06,Gift Card,No,,Shopping,133,Free,4,No,,No,2675
ORD-2023-00755,4/22/2023,2023,April,4,Saturday,Weekend,Spring,CUST16179,Ronald Moore,35-44,Female,Philadelphia,PA,Bronze,The Royal Galleria,Gymboree,Kids,Ground,7,130.96,916.72,15,137.51,7,54.54,833.75,Mobile Pay,No,,Entertainment,204,Valet,3,No,,Yes,3211
ORD-2024-00756,10/3/2024,2024,October,10,Thursday,Weekday,Fall,CUST37037,Stephanie Sanchez,45-54,Male,San Diego,CA,Bronze,Lakewood Center,Barnes & Noble,Books & Gifts,1st,5,324.31,1621.55,15,243.23,6.16,84.9,1463.22,Debit Card,No,,Shopping,64,Free,5,No,,Yes,5643
ORD-2022-00757,5/18/2022,2022,May,5,Wednesday,Weekday,Spring,CUST53116,Robert Taylor,55-64,Female,Columbus,OH,Gold,Pinnacle Plaza,Spencer's,Books & Gifts,1st,4,21.43,85.72,15,12.86,10.55,7.69,80.55,Debit Card,Yes,PROMO334,Entertainment,199,Free,4,No,,No,92
ORD-2023-00758,8/1/2022,2022,August,8,Monday,Weekday,Summer,CUST47565,Steven Allen,18-24,Female,San Diego,CA,Silver,Eastgate Mall,Disney Store,Kids,1st,2,422.07,844.14,5,42.21,6.21,49.8,851.73,Cash,No,,Entertainment,186,Free,5,No,,No,2083
ORD-2024-00759,3/22/2023,2023,March,3,Wednesday,Weekday,Spring,CUST95316,Carol Baker,35-44,Female,New York,NY,Platinum,Sunrise Mall,Virtual Reality Zone,Entertainment,2nd,12,336.41,4036.92,0,0,9.17,370.19,4407.11,Debit Card,Yes,PROMO651,Gift Buying,131,Paid,5,No,,No,11909
ORD-2022-00760,11/14/2022,2022,November,11,Monday,Weekday,Fall,CUST27412,Steven Nguyen,18-24,Male,Philadelphia,PA,Platinum,The Royal Galleria,Barnes & Noble,Books & Gifts,2nd,2,140.75,281.5,5,14.07,5.96,15.94,283.37,Mobile Pay,No,,Dining,24,Valet,5,No,,No,481
ORD-2023-00761,4/9/2023,2023,April,4,Sunday,Weekend,Spring,CUST84450,Jessica Thomas,45-54,Female,Dallas,TX,Platinum,Blue Harbor Center,Spencer's,Books & Gifts,3rd,3,488.01,1464.03,30,439.21,9.62,98.59,1123.41,Mobile Pay,No,,Shopping,115,Free,5,No,,No,5276
ORD-2024-00762,3/11/2023,2023,March,3,Saturday,Weekend,Spring,CUST34263,Linda Smith,18-24,Male,New York,NY,Bronze,Sunrise Mall,Subway,Food & Beverage,1st,1,13.06,13.06,15,1.96,7.7,0.85,11.95,Mobile Pay,No,,Window Shopping,44,Paid,2,Yes,,No,30
ORD-2022-00763,8/29/2023,2023,August,8,Tuesday,Weekday,Summer,CUST18088,Jennifer Jackson,18-24,Male,Fort Worth,TX,Diamond,Eastgate Mall,Puma,Sports,3rd,4,449.38,1797.52,0,0,7.24,130.14,1927.66,Debit Card,No,,Leisure,36,Paid,4,No,,No,6171
ORD-2023-00764,4/16/2024,2024,April,4,Tuesday,Weekday,Spring,CUST12215,James Gonzalez,25-34,Male,New York,NY,Silver,Sunrise Mall,Things Remembered,Books & Gifts,1st,7,458.42,3208.94,0,0,10.72,344,3552.94,Cash,Yes,PROMO120,Entertainment,205,Free,4,No,,No,16299
ORD-2024-00765,6/1/2022,2022,June,6,Wednesday,Weekday,Summer,CUST21835,Jennifer Rivera,45-54,Female,Phoenix,AZ,Gold,Summit Crossing,TopShop,Fashion,1st,4,493.46,1973.84,0,0,8.13,160.47,2134.31,Cash,No,,Shopping,117,Free,4,No,,No,2262
ORD-2022-00766,5/30/2024,2024,May,5,Thursday,Weekday,Spring,CUST59534,Donna Martinez,45-54,Female,Phoenix,AZ,Silver,Pinnacle Plaza,Zales,Jewelry,1st,10,284.48,2844.8,5,142.24,7.72,208.64,2911.2,Mobile Pay,No,,Shopping,150,Paid,3,No,,No,14497
